date,text,url,date_et,trade_day,relevance_score,summary
2026-05-12 04:33:17+00:00,"TOKYO A sudden halt for technology stocks put the brakes on Wall Streets record-setting run Tuesday.
The S&amp;P 500 fell 0.2% from its all-time high set the day before. The Dow Jones Industrial Ave… [+4582 chars]",https://www.news4jax.com/business/2026/05/12/asian-shares-trade-mixed-after-wall-street-rally-despite-iran-war-worries/,2026-05-12 00:33:17-04:00,2026-05-12,7,"TOKYO A sudden halt for technology stocks put the brakes on Wall Streets record-setting run Tuesday. The S&amp;P 500 fell 0.2% from its all-time high set the day before. The Dow Jones Industrial Ave… [+4582 chars]"
2026-05-12 13:16:16+00:00,U.S. Stock Market is witnessing record highs for S&amp;P 500 and Nasdaq Composite. Some investors have raised apprehensions that rapid uptick in stock prices is similar to that of 1990s dot com bubbl… [+2151 chars],https://economictimes.indiatimes.com/news/international/us/u-s-stock-market-today-sp-500-stocks-show-signs-of-historic-wall-street-crash-bear-market-but-expert-notes-ray-of-hope/articleshow/131040564.cms,2026-05-12 09:16:16-04:00,2026-05-12,7,U.S. Stock Market is witnessing record highs for S&amp;P 500 and Nasdaq Composite. Some investors have raised apprehensions that rapid uptick in stock prices is similar to that of 1990s dot com bubbl… [+2151 chars]
2026-05-12 13:40:44+00:00,"Wall Street's main indexes edged lower on Tuesday, with the S&amp;P 500 and the Nasdaq pulling back from record highs after a hotter-than-expected inflation report and fading hopes for a swift resolu… [+3037 chars]",https://economictimes.indiatimes.com/markets/us-stocks/news/us-stocks-today-us-stocks-fall-as-hot-cpi-iran-tensions-weigh-on-sentiment/articleshow/131041146.cms,2026-05-12 09:40:44-04:00,2026-05-12,9,"Wall Street's main indexes edged lower on Tuesday, with the S&amp;P 500 and the Nasdaq pulling back from record highs after a hotter-than-expected inflation report and fading hopes for a swift resolu… [+3037 chars]"
2026-05-12 13:40:44+00:00,"The S&amp;P 500 and the Nasdaq opened lower on Tuesday, as investors weighed a hotter-than-expected inflation report and fading hopes for a swift resolution to the Middle East conflict.The Dow Jones … [+234 chars]",https://economictimes.indiatimes.com/markets/us-stocks/news/us-stocks-today-sp-500-nasdaq-open-lower-after-april-inflation-data-mideast-in-focus/articleshow/131041146.cms,2026-05-12 09:40:44-04:00,2026-05-12,8,"The S&amp;P 500 and the Nasdaq opened lower on Tuesday, as investors weighed a hotter-than-expected inflation report and fading hopes for a swift resolution to the Middle East conflict.The Dow Jones … [+234 chars]"
2026-05-12 14:55:15+00:00,"US Stock Market Crash Today: The US stock market took a sharp hit on Tuesday as investors faced a troubling wave of economic data. The Dow Jones Industrial Average fell 307 points, the S&amp;P 500 sl… [+10701 chars]",https://economictimes.indiatimes.com/news/international/us/why-did-the-us-stock-market-crash-today-after-the-cpi-inflation-report-dow-jones-sp-500-and-nasdaq-sink-deep-into-red-as-iran-tensions-and-soaring-oil-prices-fuel-fresh-inflation-fears-across-wall-street/articleshow/131042627.cms,2026-05-12 10:55:15-04:00,2026-05-12,8,"US Stock Market Crash Today: The US stock market took a sharp hit on Tuesday as investors faced a troubling wave of economic data. The Dow Jones Industrial Average fell 307 points, the S&amp;P 500 sl… [+10701 chars]"
2026-05-12 17:17:02+00:00,"Dow Jones, S&amp;P 500 and Nasdaq crash: The latest warning from Robert Kiyosaki is once again pushing fear, curiosity, and debate through global financial markets. The Rich Dad Poor Dad author says … [+7877 chars]",https://economictimes.indiatimes.com/news/international/us/is-the-biggest-us-stock-market-crash-in-history-coming-in-2026-robert-kiyosaki-warns-rising-debt-sticky-inflation-and-the-ai-stock-bubble-could-trigger-a-historic-wall-street-collapse/articleshow/131044334.cms,2026-05-12 13:17:02-04:00,2026-05-12,7,"Dow Jones, S&amp;P 500 and Nasdaq crash: The latest warning from Robert Kiyosaki is once again pushing fear, curiosity, and debate through global financial markets. The Rich Dad Poor Dad author says … [+7877 chars]"
2026-05-12 18:41:04+00:00,"Nasdaq 100 Falls Over 2% as Hot US CPI Inflation Shakes Wall Street, Dow Jones and S&amp;P 500 Pull Back From Record Highs - The Bureau of Labor Statistics reported that headline inflation rose to 3.… [+7937 chars]",https://economictimes.indiatimes.com/news/international/us/is-a-us-stock-market-crash-beginning-nasdaq-100-drops-over-2-as-dow-jones-and-sp-500-struggle-after-inflation-shock-hits-investors/articleshow/131047449.cms,2026-05-12 14:41:04-04:00,2026-05-12,10,"Nasdaq 100 Falls Over 2% as Hot US CPI Inflation Shakes Wall Street, Dow Jones and S&amp;P 500 Pull Back From Record Highs - The Bureau of Labor Statistics reported that headline inflation rose to 3.… [+7937 chars]"
2026-05-13 00:53:24+00:00,"S&amp;P 500, Nasdaq and Dow Jones on May 12: The US stock market ended on Tuesday on a mixed note as investors weighed cooling tech momentum against rising energy prices and fresh inflation data.US S… [+2613 chars]",https://economictimes.indiatimes.com/news/international/us/why-sp-500-nasdaq-dropped-while-dow-jones-gained-today-may-12-us-stock-market-mixed-close-explained/articleshow/131052106.cms,2026-05-12 20:53:24-04:00,2026-05-12,11,"S&amp;P 500, Nasdaq and Dow Jones on May 12: The US stock market ended on Tuesday on a mixed note as investors weighed cooling tech momentum against rising energy prices and fresh inflation data.US S… [+2613 chars]"
2026-05-13 01:27:39+00:00,"U.S. Stock Market's main indexes Dow Jones, S&amp;P 500, Nasdaq will look to bounce back and trade in green on Wednesday even as Wall Street futures were still in red in the pre-market. S&amp;P futur… [+2258 chars]",https://economictimes.indiatimes.com/news/international/us/u-s-stock-market-on-wednesday-dow-jones-sp-500-nasdaq-to-bounce-back-or-wall-street-crash-is-happening-check-important-factors/articleshow/131052413.cms,2026-05-12 21:27:39-04:00,2026-05-12,14,"U.S. Stock Market's main indexes Dow Jones, S&amp;P 500, Nasdaq will look to bounce back and trade in green on Wednesday even as Wall Street futures were still in red in the pre-market. S&amp;P futur… [+2258 chars]"
2026-05-13 02:49:57+00:00,"NEW YORK (AP) A rebound for technology stocks led Wall Street to records Wednesday, even though the majority of U.S. stocks fell following another discouraging update on inflation.
The S&amp;P 500 r… [+4106 chars]",https://finance.yahoo.com/news/asian-shares-trade-mixed-ai-024957725.html,2026-05-12 22:49:57-04:00,2026-05-12,8,"NEW YORK (AP) A rebound for technology stocks led Wall Street to records Wednesday, even though the majority of U.S. stocks fell following another discouraging update on inflation. The S&amp;P 500 r… [+4106 chars]"
